,State,Sex,Year,Name,Number
462415,CA,F,1980,Jennifer,5611
462416,CA,F,1980,Melissa,2984
462417,CA,F,1980,Jessica,2928
462418,CA,F,1980,Sarah,2578
462419,CA,F,1980,Michelle,2432
462420,CA,F,1980,Maria,2246
462421,CA,F,1980,Nicole,2239
462422,CA,F,1980,Elizabeth,2214
462423,CA,F,1980,Christina,2088
462424,CA,F,1980,Amanda,1878
462425,CA,F,1980,Stephanie,1617
462426,CA,F,1980,Lisa,1615
462427,CA,F,1980,Heather,1583
462428,CA,F,1980,Amber,1493
462429,CA,F,1980,Kimberly,1464
462430,CA,F,1980,Tiffany,1402
462431,CA,F,1980,Veronica,1397
462432,CA,F,1980,Rebecca,1367
462433,CA,F,1980,Laura,1348
462434,CA,F,1980,Angela,1338
462435,CA,F,1980,Amy,1298
462436,CA,F,1980,Erin,1289
462437,CA,F,1980,Sara,1222
465031,CA,F,1981,Jennifer,5629
465032,CA,F,1981,Jessica,3745
465033,CA,F,1981,Melissa,2844
465034,CA,F,1981,Sarah,2834
465035,CA,F,1981,Michelle,2461
465036,CA,F,1981,Nicole,2349
465037,CA,F,1981,Elizabeth,2312
465038,CA,F,1981,Maria,2239
465039,CA,F,1981,Amanda,2114
465040,CA,F,1981,Christina,2081
465041,CA,F,1981,Stephanie,1916
465042,CA,F,1981,Amber,1577
465043,CA,F,1981,Lisa,1534
465044,CA,F,1981,Heather,1491
465045,CA,F,1981,Rebecca,1463
465046,CA,F,1981,Amy,1461
465047,CA,F,1981,Tiffany,1398
465048,CA,F,1981,Laura,1382
465049,CA,F,1981,Crystal,1372
465050,CA,F,1981,Kimberly,1364
465051,CA,F,1981,Erin,1306
465052,CA,F,1981,Angela,1298
465053,CA,F,1981,Andrea,1273
465054,CA,F,1981,Veronica,1248
465055,CA,F,1981,Monica,1238
465056,CA,F,1981,Danielle,1208
467720,CA,F,1982,Jennifer,5812
467721,CA,F,1982,Jessica,4250
467722,CA,F,1982,Sarah,2791
467723,CA,F,1982,Melissa,2734
467724,CA,F,1982,Michelle,2464
467725,CA,F,1982,Nicole,2406
467726,CA,F,1982,Elizabeth,2312
467727,CA,F,1982,Amanda,2236
467728,CA,F,1982,Christina,2146
467729,CA,F,1982,Maria,2094
467730,CA,F,1982,Stephanie,1981
467731,CA,F,1982,Crystal,1862
467732,CA,F,1982,Vanessa,1755
467733,CA,F,1982,Amber,1611
467734,CA,F,1982,Tiffany,1554
467735,CA,F,1982,Heather,1531
467736,CA,F,1982,Amy,1413
467737,CA,F,1982,Kimberly,1389
467738,CA,F,1982,Rebecca,1374
467739,CA,F,1982,Lisa,1337
467740,CA,F,1982,Laura,1333
467741,CA,F,1982,Erin,1304
467742,CA,F,1982,Veronica,1282
467743,CA,F,1982,Andrea,1242
467744,CA,F,1982,Angela,1232
467745,CA,F,1982,Monica,1228
470446,CA,F,1983,Jennifer,5829
470447,CA,F,1983,Jessica,4508
470448,CA,F,1983,Nicole,2645
470449,CA,F,1983,Melissa,2622
470450,CA,F,1983,Sarah,2608
470451,CA,F,1983,Elizabeth,2381
470452,CA,F,1983,Michelle,2361
470453,CA,F,1983,Stephanie,2323
470454,CA,F,1983,Christina,2279
470455,CA,F,1983,Ashley,2257
470456,CA,F,1983,Amanda,2237
470457,CA,F,1983,Heather,1994
470458,CA,F,1983,Crystal,1890
